0 54914.832280 0.000012
1 54914.894663 0.000014
32 54916.827926 0.000017
78 54919.696603 0.000017
95 54920.756784 0.000016
125 54922.627668 0.000016
126 54922.690017 0.000010
127 54922.752365 0.000010
128 54922.814727 0.000011
368 54937.781831 0.000016
369 54937.844195 0.000012
383 54938.717285 0.000015
384 54938.779611 0.000010
414 54940.650507 0.000027
415 54940.712869 0.000011
416 54940.775243 0.000028
417 54940.837637 0.000024
432 54941.773045 0.000014
433 54941.835408 0.000025
446 54942.646122 0.000011
448 54942.770852 0.000012
449 54942.833221 0.000012
450 54942.895591 0.000032
463 54943.706304 0.000010
464 54943.768653 0.000012
465 54943.831008 0.000017
895 54970.647033 0.000041
896 54970.709414 0.000042
1264 54993.658926 0.000015
1344 54998.647982 0.000023
1456 55005.632601 0.000026
3546 55135.970976 0.000023
3882 55156.924900 0.000023
3883 55156.987244 0.000020
3898 55157.922708 0.000028
3915 55158.982865 0.000024
3946 55160.916107 0.000018
3947 55160.978466 0.000016
3962 55161.913906 0.000022
3963 55161.976285 0.000027
3978 55162.911738 0.000033
4668 55205.942102 0.000014
4669 55206.004463 0.000014
4684 55206.939920 0.000012
4685 55207.002308 0.000015
4715 55208.873171 0.000016
4731 55209.870977 0.000009
4732 55209.933305 0.000018
4733 55209.995687 0.000014
4781 55212.989111 0.000019
5293 55244.918892 0.000010
5294 55244.981257 0.000018
5326 55246.976864 0.000015
7614 55389.663080 0.000022




